Travel_Date,Travel_Type,Trip_Length_Days,Reason_For_Travel
06/12/2018,Flight,1.0,Meeting with other public sector organisations
05/04/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
26/04/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
09/05/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
23/05/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
05/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
07/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
12/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
14/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
18/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
19/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
22/06/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
26/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
28/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
23/07/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
30/07/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
31/07/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
30/08/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
13/09/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
04/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
04/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
09/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
10/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
11/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
12/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
12/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
17/10/2018,Train,0.0,Meeting with other external bodies
18/10/2018,Train,0.0,Meeting with other external bodies
22/10/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
08/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
15/11/2018,Train,0.0,Meeting with other external bodies
15/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
17/11/2018,Train,0.0,Meeting with other external bodies
17/11/2018,Train,0.0,Meeting with other external bodies
28/11/2018,Train,2.0,Member portfolio/Council business (Elected Members only)
28/11/2018,Flight,0.0,Member portfolio/Council business (Elected Members only)
28/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
06/12/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
11/12/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
14/12/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
15/01/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
23/01/2019,Train,1.0,Member portfolio/Council business (Elected Members only)
07/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
11/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
11/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
11/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
12/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
14/02/2019,Train,1.0,Member portfolio/Council business (Elected Members only)
07/03/2019,Train,,Member portfolio/Council business (Elected Members only)
26/03/2019,Train,,Member portfolio/Council business (Elected Members only)
28/03/2019,Train,,Member portfolio/Council business (Elected Members only)
17/10/2018,Train,0.0,Meeting with other external bodies
18/10/2018,Train,0.0,Meeting with other external bodies
20/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
20/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
13/03/2019,Train,0.0,Meeting with other public sector organisations
14/03/2019,Train,0.0,Meeting with other public sector organisations
22/06/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
20/07/2018,Train,0.0,Meeting with other external bodies
20/07/2018,Train,0.0,Meeting with other external bodies
17/09/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
17/09/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
04/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
29/11/2018,Train,0.0,Meeting with other external bodies
03/07/2018,Train,0.0,Conference - as an attendee
05/07/2018,Train,0.0,Conference - as an attendee
26/03/2019,Train,,Member portfolio/Council business (Elected Members only)
06/09/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
04/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
04/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
26/03/2019,Train,,Conference - as an attendee
26/03/2019,Train,,Conference - as an attendee
14/12/2018,Train,0.0,Meeting with other public sector organisations
