Travel_Date,Travel_Type,Trip_Length_Days,Reason_for_Travel
21/09/2017,Train,0.0,Conference - as an attendee
27/02/2018,Train,0.0,Conference - as an attendee
21/09/2017,Train,0.0,Conference - as an attendee
07/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
07/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
03/05/2017,Train,0.0,Meeting with other public sector organisations
09/05/2017,Train,0.0,Meeting with other external bodies
10/05/2017,Train,1.0,Meeting with other public sector organisations
24/05/2017,Train,0.0,Conference - as an exhibitor/presenter
15/06/2017,Flight,0.0,Meeting with other public sector organisations
15/06/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
04/07/2017,Train,0.0,Conference - as an attendee
06/07/2017,Train,0.0,Conference - as an attendee
07/07/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
17/07/2017,Train,1.0,Member portfolio/Council business (Elected Members only)
19/07/2017,Train,1.0,Member portfolio/Council business (Elected Members only)
01/09/2017,Flight,1.0,Meeting with other public sector organisations
12/09/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
28/09/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
06/10/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
08/10/2017,Train,1.0,Member portfolio/Council business (Elected Members only)
17/10/2017,Train,0.0,Meeting with other public sector organisations
19/10/2017,Train,0.0,Meeting with other external bodies
03/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
09/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
13/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
24/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
27/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
07/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
23/01/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
25/01/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
07/02/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
22/02/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
27/02/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
05/02/2018,Train,0.0,Conference - as an attendee
06/02/2018,Train,0.0,Conference - as an attendee
14/03/2018,Train,0.0,Conference - as an attendee
14/03/2018,Train,0.0,Conference - as an attendee
22/03/2018,Train,0.0,Conference - as an attendee
25/04/2017,Train,0.0,Meeting with other public sector organisations
23/11/2017,Train,0.0,LCC hosted event  Externally funded
24/11/2017,Train,0.0,LCC hosted event  Externally funded
01/06/2017,Train,0.0,Meeting with other public sector organisations
01/06/2017,Train,0.0,Meeting with other public sector organisations
24/10/2017,Train,0.0,Meeting with other public sector organisations
24/10/2017,Train,0.0,Meeting with other public sector organisations
12/06/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
12/06/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
04/07/2017,Train,0.0,Conference - as an attendee
06/07/2017,Train,0.0,Conference - as an attendee
06/10/2017,Train,0.0,Meeting with other public sector organisations
06/10/2017,Train,0.0,Meeting with other public sector organisations
21/09/2017,Train,0.0,Conference - as an attendee
12/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
17/11/2017,Train,0.0,Conference - as an attendee
17/11/2017,Train,0.0,Conference - as an attendee
12/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
12/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
21/09/2017,Train,0.0,Conference - as an attendee
07/10/2017,Train,0.0,Meeting with other public sector organisations
29/11/2017,Train,0.0,Conference - as an attendee
07/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
07/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
15/06/2017,Train,0.0,Meeting with other public sector organisations
22/06/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
05/07/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
07/10/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
25/10/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
25/10/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
21/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
30/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
22/01/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
18/07/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
07/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
07/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
12/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
12/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
09/07/2017,Train,1.0,Conference - as an attendee
06/03/2018,Ancillary,,Member portfolio/Council business (Elected Members only)
06/03/2018,Train,0.0,Meeting with other public sector organisations
06/03/2018,Train,0.0,Meeting with other public sector organisations
24/10/2017,Train,0.0,Meeting with other public sector organisations
24/10/2017,Train,0.0,Meeting with other public sector organisations
18/10/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
07/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
07/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
12/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
30/01/2018,Train,0.0,Meeting with other public sector organisations
30/01/2018,Train,0.0,Meeting with other public sector organisations
