,year,Trip_Length_Days,Travel_Type,Reason_for_travel
0,2017,1-3  nights,Air,Holiday
1,2017,1-3  nights,Air,Business
2,2017,1-3  nights,Air,Miscellaneous
3,2017,1-3  nights,Sea,Holiday
4,2017,1-3  nights,Sea,Business
5,2017,1-3  nights,Sea,VFR
6,2017,1-3  nights,Tunnel,Holiday
7,2017,1-3  nights,Tunnel,Business
8,2017,1-3  nights,Tunnel,VFR
9,2017,1-3  nights,Tunnel,Study
10,2017,1-3  nights,Tunnel,Miscellaneous
11,2017,4-7  nights,Sea,Holiday
12,2017,4-7  nights,Sea,VFR
13,2017,4-7  nights,Tunnel,Holiday
14,2017,4-7  nights,Tunnel,Business
15,2017,4-7  nights,Tunnel,VFR
16,2017,8-14 nights,Air,VFR
17,2017,15+  nights,Air,Study
18,2017,1-3  nights,Air,Holiday
19,2017,1-3  nights,Air,Business
20,2017,1-3  nights,Air,VFR
21,2017,4-7  nights,Air,Holiday
22,2017,4-7  nights,Air,VFR
23,2017,1-3  nights,Air,Holiday
24,2017,1-3  nights,Air,Business
25,2017,1-3  nights,Air,VFR
26,2017,1-3  nights,Air,Miscellaneous
27,2017,1-3  nights,Sea,Holiday
28,2017,1-3  nights,Sea,VFR
29,2017,1-3  nights,Tunnel,Holiday
30,2017,1-3  nights,Tunnel,Business
31,2017,1-3  nights,Tunnel,VFR
32,2017,1-3  nights,Tunnel,Study
33,2017,1-3  nights,Tunnel,Miscellaneous
34,2017,4-7  nights,Air,Holiday
35,2017,4-7  nights,Air,Business
36,2017,4-7  nights,Air,VFR
37,2017,4-7  nights,Sea,Holiday
38,2017,4-7  nights,Sea,Business
39,2017,4-7  nights,Sea,VFR
40,2017,4-7  nights,Tunnel,Holiday
41,2017,4-7  nights,Tunnel,Business
42,2017,4-7  nights,Tunnel,VFR
43,2017,8-14 nights,Air,Holiday
44,2017,8-14 nights,Air,Business
45,2017,8-14 nights,Air,VFR
46,2017,8-14 nights,Tunnel,Business
47,2017,8-14 nights,Tunnel,VFR
48,2017,15+  nights,Air,Holiday
49,2017,15+  nights,Air,Business
50,2017,15+  nights,Air,VFR
51,2017,15+  nights,Sea,VFR
52,2017,15+  nights,Tunnel,Business
53,2017,15+  nights,Tunnel,VFR
54,2017,15+  nights,Tunnel,Miscellaneous
55,2017,1-3  nights,Air,Holiday
56,2017,1-3  nights,Air,Business
57,2017,1-3  nights,Air,VFR
58,2017,1-3  nights,Air,Miscellaneous
59,2017,1-3  nights,Sea,Holiday
60,2017,1-3  nights,Sea,Business
61,2017,1-3  nights,Sea,VFR
62,2017,1-3  nights,Tunnel,Holiday
63,2017,4-7  nights,Air,Holiday
64,2017,4-7  nights,Air,Business
65,2017,4-7  nights,Air,VFR
66,2017,4-7  nights,Sea,Holiday
67,2017,4-7  nights,Sea,Business
68,2017,4-7  nights,Sea,VFR
69,2017,4-7  nights,Tunnel,Holiday
70,2017,4-7  nights,Tunnel,Business
71,2017,4-7  nights,Tunnel,VFR
72,2017,8-14 nights,Air,Holiday
73,2017,8-14 nights,Air,VFR
74,2017,8-14 nights,Sea,Business
75,2017,8-14 nights,Sea,VFR
76,2017,15+  nights,Air,Holiday
77,2017,15+  nights,Air,Business
78,2017,15+  nights,Air,VFR
79,2017,15+  nights,Air,Miscellaneous
80,2017,15+  nights,Tunnel,VFR
81,2017,1-3  nights,Air,Holiday
82,2017,1-3  nights,Air,Business
83,2017,1-3  nights,Air,VFR
84,2017,1-3  nights,Air,Miscellaneous
85,2017,1-3  nights,Sea,Business
86,2017,4-7  nights,Air,Holiday
87,2017,4-7  nights,Air,Business
88,2017,4-7  nights,Air,VFR
89,2017,8-14 nights,Air,Holiday
90,2017,8-14 nights,Air,VFR
91,2017,8-14 nights,Air,Study
92,2017,15+  nights,Air,Holiday
93,2017,15+  nights,Air,VFR
94,2017,15+  nights,Air,Study
95,2017,1-3  nights,Air,Holiday
96,2017,1-3  nights,Air,Business
97,2017,1-3  nights,Air,VFR
98,2017,1-3  nights,Air,Miscellaneous
99,2017,1-3  nights,Sea,Holiday
100,2017,1-3  nights,Sea,Business
101,2017,1-3  nights,Sea,VFR
102,2017,1-3  nights,Sea,Miscellaneous
103,2017,1-3  nights,Tunnel,Holiday
104,2017,1-3  nights,Tunnel,Business
105,2017,1-3  nights,Tunnel,VFR
106,2017,1-3  nights,Tunnel,Miscellaneous
107,2017,4-7  nights,Air,Holiday
108,2017,4-7  nights,Air,Business
109,2017,4-7  nights,Air,VFR
110,2017,4-7  nights,Air,Miscellaneous
111,2017,4-7  nights,Sea,Holiday
112,2017,4-7  nights,Sea,VFR
113,2017,4-7  nights,Tunnel,Holiday
114,2017,4-7  nights,Tunnel,VFR
115,2017,8-14 nights,Air,Holiday
116,2017,8-14 nights,Air,Business
117,2017,8-14 nights,Air,VFR
118,2017,8-14 nights,Sea,Holiday
119,2017,15+  nights,Sea,VFR
120,2017,15+  nights,Tunnel,VFR
121,2017,1-3  nights,Air,Holiday
122,2017,1-3  nights,Air,Business
123,2017,1-3  nights,Air,VFR
124,2017,1-3  nights,Air,Miscellaneous
125,2017,4-7  nights,Air,Holiday
126,2017,4-7  nights,Air,Business
127,2017,4-7  nights,Air,VFR
128,2017,15+  nights,Air,Study
129,2017,1-3  nights,Air,Holiday
130,2017,1-3  nights,Air,Business
131,2017,1-3  nights,Air,VFR
132,2017,1-3  nights,Air,Miscellaneous
133,2017,4-7  nights,Air,Holiday
134,2017,4-7  nights,Air,Business
135,2017,4-7  nights,Air,VFR
136,2017,4-7  nights,Air,Miscellaneous
137,2017,8-14 nights,Air,Holiday
138,2017,8-14 nights,Air,Business
139,2017,8-14 nights,Air,VFR
140,2017,15+  nights,Air,VFR
141,2017,1-3  nights,Air,Holiday
142,2017,1-3  nights,Air,Business
143,2017,1-3  nights,Air,VFR
144,2017,1-3  nights,Air,Miscellaneous
145,2017,1-3  nights,Sea,Business
146,2017,1-3  nights,Tunnel,Business
147,2017,4-7  nights,Air,Holiday
148,2017,4-7  nights,Air,Business
149,2017,4-7  nights,Air,VFR
150,2017,4-7  nights,Air,Miscellaneous
151,2017,4-7  nights,Tunnel,Holiday
152,2017,4-7  nights,Tunnel,Business
153,2017,8-14 nights,Air,Holiday
154,2017,8-14 nights,Air,VFR
155,2017,15+  nights,Air,Holiday
156,2017,15+  nights,Air,VFR
157,2017,15+  nights,Air,Miscellaneous
158,2017,15+  nights,Sea,VFR
159,2017,1-3  nights,Air,Holiday
160,2017,1-3  nights,Air,Business
161,2017,1-3  nights,Air,VFR
162,2017,1-3  nights,Air,Miscellaneous
163,2017,1-3  nights,Tunnel,Business
164,2017,4-7  nights,Air,Holiday
165,2017,4-7  nights,Air,VFR
166,2017,4-7  nights,Air,Miscellaneous
167,2017,4-7  nights,Sea,Business
168,2017,8-14 nights,Air,VFR
169,2017,15+  nights,Air,VFR
170,2017,1-3  nights,Air,Holiday
171,2017,1-3  nights,Air,Business
172,2017,1-3  nights,Air,VFR
173,2017,4-7  nights,Air,Holiday
174,2017,4-7  nights,Air,Business
175,2017,4-7  nights,Air,VFR
176,2017,8-14 nights,Air,VFR
177,2017,1-3  nights,Air,Holiday
178,2017,1-3  nights,Air,Business
179,2017,1-3  nights,Air,VFR
180,2017,1-3  nights,Air,Miscellaneous
181,2017,4-7  nights,Air,Holiday
182,2017,4-7  nights,Air,Business
183,2017,4-7  nights,Air,VFR
184,2017,4-7  nights,Air,Miscellaneous
185,2017,8-14 nights,Air,Holiday
186,2017,8-14 nights,Air,Business
187,2017,8-14 nights,Air,VFR
188,2017,15+  nights,Air,VFR
189,2017,15+  nights,Air,Study
190,2017,1-3  nights,Air,Holiday
191,2017,1-3  nights,Air,Business
192,2017,1-3  nights,Air,VFR
193,2017,1-3  nights,Air,Miscellaneous
194,2017,4-7  nights,Air,Holiday
195,2017,4-7  nights,Air,Business
196,2017,4-7  nights,Air,VFR
197,2017,8-14 nights,Air,Holiday
198,2017,15+  nights,Air,VFR
199,2017,1-3  nights,Air,Holiday
200,2017,1-3  nights,Air,Business
201,2017,1-3  nights,Air,VFR
202,2017,1-3  nights,Air,Miscellaneous
203,2017,1-3  nights,Sea,Business
204,2017,1-3  nights,Sea,VFR
205,2017,1-3  nights,Tunnel,VFR
206,2017,4-7  nights,Air,Holiday
207,2017,4-7  nights,Air,Business
208,2017,4-7  nights,Air,VFR
209,2017,4-7  nights,Sea,VFR
210,2017,8-14 nights,Air,Holiday
211,2017,8-14 nights,Air,Business
212,2017,8-14 nights,Air,VFR
213,2017,8-14 nights,Air,Miscellaneous
214,2017,8-14 nights,Sea,VFR
215,2017,15+  nights,Air,Holiday
216,2017,15+  nights,Air,VFR
217,2017,15+  nights,Sea,Business
218,2017,15+  nights,Sea,VFR
219,2017,15+  nights,Sea,Miscellaneous
220,2017,1-3  nights,Air,Holiday
221,2017,1-3  nights,Air,Business
222,2017,1-3  nights,Air,VFR
223,2017,4-7  nights,Air,Holiday
224,2017,4-7  nights,Air,Business
225,2017,4-7  nights,Air,VFR
226,2017,8-14 nights,Air,VFR
227,2017,15+  nights,Air,Business
228,2017,15+  nights,Air,VFR
229,2017,1-3  nights,Air,Holiday
230,2017,1-3  nights,Air,Business
231,2017,1-3  nights,Air,VFR
232,2017,1-3  nights,Air,Miscellaneous
233,2017,4-7  nights,Air,Holiday
234,2017,4-7  nights,Air,Business
235,2017,4-7  nights,Air,VFR
236,2017,4-7  nights,Tunnel,Business
237,2017,8-14 nights,Air,Holiday
238,2017,8-14 nights,Air,VFR
239,2017,15+  nights,Air,Business
240,2017,15+  nights,Tunnel,Miscellaneous
241,2017,1-3  nights,Air,Holiday
242,2017,1-3  nights,Air,Business
243,2017,1-3  nights,Air,VFR
244,2017,1-3  nights,Air,Miscellaneous
245,2017,4-7  nights,Air,Holiday
246,2017,4-7  nights,Air,Business
247,2017,4-7  nights,Air,VFR
248,2017,4-7  nights,Air,Miscellaneous
249,2017,8-14 nights,Air,Business
250,2017,8-14 nights,Air,VFR
251,2017,15+  nights,Air,Business
252,2017,1-3  nights,Air,Holiday
253,2017,1-3  nights,Air,VFR
254,2017,4-7  nights,Air,Holiday
255,2017,4-7  nights,Air,Business
256,2017,4-7  nights,Air,VFR
257,2017,1-3  nights,Air,Holiday
258,2017,1-3  nights,Air,Business
259,2017,1-3  nights,Air,VFR
260,2017,1-3  nights,Tunnel,Business
261,2017,4-7  nights,Air,Holiday
262,2017,4-7  nights,Air,Business
263,2017,4-7  nights,Air,VFR
264,2017,8-14 nights,Air,Study
265,2017,15+  nights,Air,Business
266,2017,15+  nights,Sea,Business
267,2017,1-3  nights,Air,Holiday
268,2017,1-3  nights,Air,Business
269,2017,1-3  nights,Air,VFR
270,2017,1-3  nights,Air,Miscellaneous
271,2017,1-3  nights,Sea,Business
272,2017,1-3  nights,Tunnel,Business
273,2017,4-7  nights,Air,Holiday
274,2017,4-7  nights,Air,Business
275,2017,4-7  nights,Air,VFR
276,2017,4-7  nights,Sea,Holiday
277,2017,4-7  nights,Sea,Business
278,2017,4-7  nights,Sea,VFR
279,2017,8-14 nights,Air,Holiday
280,2017,8-14 nights,Air,Business
281,2017,8-14 nights,Air,VFR
282,2017,8-14 nights,Tunnel,VFR
283,2017,15+  nights,Air,VFR
284,2017,15+  nights,Sea,VFR
285,2017,4-7  nights,Air,Business
286,2017,15+  nights,Air,VFR
287,2017,15+  nights,Tunnel,VFR
288,2017,1-3  nights,Air,Business
289,2017,1-3  nights,Air,VFR
290,2017,1-3  nights,Air,Miscellaneous
291,2017,1-3  nights,Tunnel,Holiday
292,2017,1-3  nights,Tunnel,Business
293,2017,4-7  nights,Air,VFR
