,Travel_Date,Travel_Type,Trip_Length_Days,Reason_For_Travel
0,2018-06-12,Flight,1.0,Meeting with other public sector organisations
1,2018-05-04,Train,0.0,Member portfolio/Council business (Elected Members only)
2,26/04/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
3,2018-09-05,Train,0.0,Member portfolio/Council business (Elected Members only)
4,23/05/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
5,2018-05-06,Train,0.0,Member portfolio/Council business (Elected Members only)
6,2018-07-06,Train,0.0,Member portfolio/Council business (Elected Members only)
7,2018-12-06,Train,0.0,Member portfolio/Council business (Elected Members only)
8,14/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
9,18/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
10,19/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
11,22/06/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
12,26/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
13,28/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
14,23/07/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
15,30/07/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
16,31/07/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
17,30/08/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
18,13/09/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
19,2018-04-10,Train,0.0,Member portfolio/Council business (Elected Members only)
20,2018-04-10,Train,0.0,Member portfolio/Council business (Elected Members only)
21,2018-09-10,Train,0.0,Member portfolio/Council business (Elected Members only)
22,2018-10-10,Train,0.0,Member portfolio/Council business (Elected Members only)
23,2018-11-10,Train,0.0,Member portfolio/Council business (Elected Members only)
24,2018-12-10,Train,0.0,Member portfolio/Council business (Elected Members only)
25,2018-12-10,Train,0.0,Member portfolio/Council business (Elected Members only)
26,17/10/2018,Train,0.0,Meeting with other external bodies
27,18/10/2018,Train,0.0,Meeting with other external bodies
28,22/10/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
29,2018-08-11,Train,0.0,Member portfolio/Council business (Elected Members only)
30,15/11/2018,Train,0.0,Meeting with other external bodies
31,15/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
32,17/11/2018,Train,0.0,Meeting with other external bodies
33,17/11/2018,Train,0.0,Meeting with other external bodies
34,28/11/2018,Train,2.0,Member portfolio/Council business (Elected Members only)
35,28/11/2018,Flight,0.0,Member portfolio/Council business (Elected Members only)
36,28/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
37,2018-06-12,Train,0.0,Member portfolio/Council business (Elected Members only)
38,2018-11-12,Train,0.0,Member portfolio/Council business (Elected Members only)
39,14/12/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
40,15/01/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
41,23/01/2019,Train,1.0,Member portfolio/Council business (Elected Members only)
42,2019-07-02,Train,0.0,Member portfolio/Council business (Elected Members only)
43,2019-11-02,Train,0.0,Member portfolio/Council business (Elected Members only)
44,2019-11-02,Train,0.0,Member portfolio/Council business (Elected Members only)
45,2019-11-02,Train,0.0,Member portfolio/Council business (Elected Members only)
46,2019-12-02,Train,0.0,Member portfolio/Council business (Elected Members only)
47,14/02/2019,Train,1.0,Member portfolio/Council business (Elected Members only)
48,2019-07-03,Train,,Member portfolio/Council business (Elected Members only)
49,26/03/2019,Train,,Member portfolio/Council business (Elected Members only)
50,28/03/2019,Train,,Member portfolio/Council business (Elected Members only)
51,17/10/2018,Train,0.0,Meeting with other external bodies
52,18/10/2018,Train,0.0,Meeting with other external bodies
53,20/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
54,20/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
55,13/03/2019,Train,0.0,Meeting with other public sector organisations
56,14/03/2019,Train,0.0,Meeting with other public sector organisations
57,22/06/2018,Train,1.0,Member portfolio/Council business (Elected Members only)
58,20/07/2018,Train,0.0,Meeting with other external bodies
59,20/07/2018,Train,0.0,Meeting with other external bodies
60,17/09/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
61,17/09/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
62,2018-04-10,Train,0.0,Member portfolio/Council business (Elected Members only)
63,29/11/2018,Train,0.0,Meeting with other external bodies
64,2018-03-07,Train,0.0,Conference - as an attendee
65,2018-05-07,Train,0.0,Conference - as an attendee
66,26/03/2019,Train,,Member portfolio/Council business (Elected Members only)
67,2018-06-09,Train,0.0,Member portfolio/Council business (Elected Members only)
68,2019-04-02,Train,0.0,Member portfolio/Council business (Elected Members only)
69,2019-04-02,Train,0.0,Member portfolio/Council business (Elected Members only)
70,26/03/2019,Train,,Conference - as an attendee
71,26/03/2019,Train,,Conference - as an attendee
72,14/12/2018,Train,0.0,Meeting with other public sector organisations
73,14/12/2018,Train,0.0,Meeting with other public sector organisations
74,17/01/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
75,17/01/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
76,2018-03-07,Train,0.0,Conference - as an attendee
77,2018-05-07,Train,0.0,Conference - as an attendee
78,13/09/2018,Train,0.0,Conference - as an attendee
79,13/09/2018,Train,0.0,Conference - as an attendee
80,2018-04-12,Train,0.0,Conference - as an attendee
81,31/10/2018,Train,0.0,Conference - as an attendee
82,31/10/2018,Train,0.0,Conference - as an attendee
83,26/03/2019,Train,,Conference - as an attendee
84,26/03/2019,Train,,Conference - as an attendee
85,2018-10-07,Train,0.0,Conference - as an attendee
86,2018-10-07,Train,0.0,Conference - as an attendee
87,2018-04-12,Train,0.0,Conference - as an attendee
88,26/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
89,26/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
90,2019-06-03,Train,,Member portfolio/Council business (Elected Members only)
91,26/03/2019,Train,,Conference - as an attendee
92,26/03/2019,Train,,Conference - as an attendee
93,2018-05-06,Train,0.0,Meeting with other external bodies
94,2018-05-06,Train,0.0,Meeting with other external bodies
95,2018-05-06,Train,0.0,Meeting with other external bodies
96,2018-05-06,Train,0.0,Meeting with other external bodies
97,2018-11-05,Train,0.0,Member portfolio/Council business (Elected Members only)
98,20/06/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
99,16/08/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
100,2018-06-09,Train,0.0,Member portfolio/Council business (Elected Members only)
101,2018-08-11,Train,0.0,Member portfolio/Council business (Elected Members only)
102,13/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
103,2018-11-12,Train,0.0,Member portfolio/Council business (Elected Members only)
104,2019-01-02,Train,0.0,Member portfolio/Council business (Elected Members only)
105,14/02/2019,Train,0.0,Member portfolio/Council business (Elected Members only)
106,13/03/2019,Train,,Member portfolio/Council business (Elected Members only)
107,29/03/2019,Train,,Member portfolio/Council business (Elected Members only)
108,2018-03-07,Train,0.0,Conference - as an attendee
109,2018-05-07,Train,0.0,Conference - as an attendee
110,2018-12-07,Train,0.0,Meeting with other external bodies
111,2019-06-03,Train,,Member portfolio/Council business (Elected Members only)
112,29/01/2019,Train,0.0,Conference - as an attendee
113,30/01/2019,Train,0.0,Conference - as an attendee
114,2018-06-06,Train,0.0,Other
115,2018-06-06,Train,0.0,Other
116,28/11/2018,Train,2.0,Conference - as an exhibitor/presenter
117,27/11/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
118,26/03/2019,Train,,Conference - as an attendee
119,26/03/2019,Train,,Conference - as an attendee
120,2018-07-09,Train,1.0,Member portfolio/Council business (Elected Members only)
121,26/10/2018,Train,0.0,Member portfolio/Council business (Elected Members only)
122,29/03/2019,Train,,Member portfolio/Council business (Elected Members only)
123,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
124,2017-07-11,Train,0.0,Member portfolio/Council business (Elected Members only)
125,2017-03-05,Train,0.0,Meeting with other public sector organisations
126,2017-09-05,Train,0.0,Meeting with other external bodies
127,2017-10-05,Train,1.0,Meeting with other public sector organisations
128,24/05/2017,Train,0.0,Conference - as an exhibitor/presenter
129,15/06/2017,Flight,0.0,Meeting with other public sector organisations
130,15/06/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
131,2017-04-07,Train,0.0,Conference - as an attendee
132,2017-06-07,Train,0.0,Conference - as an attendee
133,2017-07-07,Train,0.0,Member portfolio/Council business (Elected Members only)
134,17/07/2017,Train,1.0,Member portfolio/Council business (Elected Members only)
135,19/07/2017,Train,1.0,Member portfolio/Council business (Elected Members only)
136,2017-01-09,Flight,1.0,Meeting with other public sector organisations
137,2017-12-09,Train,0.0,Member portfolio/Council business (Elected Members only)
138,28/09/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
139,2017-06-10,Train,0.0,Member portfolio/Council business (Elected Members only)
140,2017-08-10,Train,1.0,Member portfolio/Council business (Elected Members only)
141,17/10/2017,Train,0.0,Meeting with other public sector organisations
142,19/10/2017,Train,0.0,Meeting with other external bodies
143,2017-03-11,Train,0.0,Member portfolio/Council business (Elected Members only)
144,2017-09-11,Train,0.0,Member portfolio/Council business (Elected Members only)
145,13/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
146,24/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
147,27/11/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
148,2017-07-12,Train,0.0,Member portfolio/Council business (Elected Members only)
149,14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
150,14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
151,14/12/2017,Train,0.0,Member portfolio/Council business (Elected Members only)
