,Unnamed: 0,year,dur_stay,mode,purpose
0,0,2017,1-3  nights,Air,Holiday
1,1,2017,1-3  nights,Air,Business
2,2,2017,1-3  nights,Air,Miscellaneous
3,3,2017,1-3  nights,Sea,Holiday
4,4,2017,1-3  nights,Sea,Business
5,5,2017,1-3  nights,Sea,VFR
6,6,2017,1-3  nights,Tunnel,Holiday
7,7,2017,1-3  nights,Tunnel,Business
8,8,2017,1-3  nights,Tunnel,VFR
9,9,2017,1-3  nights,Tunnel,Study
10,10,2017,1-3  nights,Tunnel,Miscellaneous
11,11,2017,4-7  nights,Sea,Holiday
12,12,2017,4-7  nights,Sea,VFR
13,13,2017,4-7  nights,Tunnel,Holiday
14,14,2017,4-7  nights,Tunnel,Business
15,15,2017,4-7  nights,Tunnel,VFR
16,16,2017,8-14 nights,Air,VFR
17,17,2017,15+  nights,Air,Study
18,18,2017,1-3  nights,Air,Holiday
19,19,2017,1-3  nights,Air,Business
20,20,2017,1-3  nights,Air,VFR
21,21,2017,4-7  nights,Air,Holiday
22,22,2017,4-7  nights,Air,VFR
23,23,2017,1-3  nights,Air,Holiday
24,24,2017,1-3  nights,Air,Business
25,25,2017,1-3  nights,Air,VFR
26,26,2017,1-3  nights,Air,Miscellaneous
27,27,2017,1-3  nights,Sea,Holiday
28,28,2017,1-3  nights,Sea,VFR
29,29,2017,1-3  nights,Tunnel,Holiday
30,30,2017,1-3  nights,Tunnel,Business
31,31,2017,1-3  nights,Tunnel,VFR
32,32,2017,1-3  nights,Tunnel,Study
33,33,2017,1-3  nights,Tunnel,Miscellaneous
34,34,2017,4-7  nights,Air,Holiday
35,35,2017,4-7  nights,Air,Business
36,36,2017,4-7  nights,Air,VFR
37,37,2017,4-7  nights,Sea,Holiday
38,38,2017,4-7  nights,Sea,Business
39,39,2017,4-7  nights,Sea,VFR
40,40,2017,4-7  nights,Tunnel,Holiday
41,41,2017,4-7  nights,Tunnel,Business
42,42,2017,4-7  nights,Tunnel,VFR
43,43,2017,8-14 nights,Air,Holiday
44,44,2017,8-14 nights,Air,Business
45,45,2017,8-14 nights,Air,VFR
46,46,2017,8-14 nights,Tunnel,Business
47,47,2017,8-14 nights,Tunnel,VFR
48,48,2017,15+  nights,Air,Holiday
49,49,2017,15+  nights,Air,Business
50,50,2017,15+  nights,Air,VFR
51,51,2017,15+  nights,Sea,VFR
52,52,2017,15+  nights,Tunnel,Business
53,53,2017,15+  nights,Tunnel,VFR
54,54,2017,15+  nights,Tunnel,Miscellaneous
55,55,2017,1-3  nights,Air,Holiday
56,56,2017,1-3  nights,Air,Business
57,57,2017,1-3  nights,Air,VFR
58,58,2017,1-3  nights,Air,Miscellaneous
59,59,2017,1-3  nights,Sea,Holiday
60,60,2017,1-3  nights,Sea,Business
61,61,2017,1-3  nights,Sea,VFR
62,62,2017,1-3  nights,Tunnel,Holiday
63,63,2017,4-7  nights,Air,Holiday
64,64,2017,4-7  nights,Air,Business
65,65,2017,4-7  nights,Air,VFR
66,66,2017,4-7  nights,Sea,Holiday
67,67,2017,4-7  nights,Sea,Business
68,68,2017,4-7  nights,Sea,VFR
69,69,2017,4-7  nights,Tunnel,Holiday
70,70,2017,4-7  nights,Tunnel,Business
71,71,2017,4-7  nights,Tunnel,VFR
72,72,2017,8-14 nights,Air,Holiday
73,73,2017,8-14 nights,Air,VFR
74,74,2017,8-14 nights,Sea,Business
75,75,2017,8-14 nights,Sea,VFR
76,76,2017,15+  nights,Air,Holiday
77,77,2017,15+  nights,Air,Business
78,78,2017,15+  nights,Air,VFR
79,79,2017,15+  nights,Air,Miscellaneous
80,80,2017,15+  nights,Tunnel,VFR
81,81,2017,1-3  nights,Air,Holiday
82,82,2017,1-3  nights,Air,Business
83,83,2017,1-3  nights,Air,VFR
